#{"t_start": 1750263531.055104, "env_id": "None"}
r,l,t
26.684941,45,5014.910022
26.663877,45,5042.549769
21.890333,45,5063.580459
28.321479,45,5093.022097
22.130238,45,5122.270353
27.625444,45,5164.376153
22.08311,45,5192.372499
27.402671,45,5215.135711
28.830962,45,5239.164853
24.111708,45,5261.210183
25.152488,45,5297.953326
26.22173,45,5327.082076
24.954721,45,5353.399476
26.593951,45,5374.737089
26.328881,45,5403.516426
22.403869,45,5455.575358
24.274289,45,5482.651484
23.060499,45,5511.072007
27.408019,45,5537.611583
22.604545,45,5560.046608
25.29282,45,5589.692077
24.339258,45,5612.12034
25.022445,45,5634.703026
25.985122,45,5658.768451
26.017598,45,5686.884554
26.978152,45,5718.151464
28.634962,45,5755.934465
24.989942,45,5778.698289
27.619209,45,5808.187035
26.360174,45,5834.425699
28.451356,45,5859.206037
26.79845,45,5880.995834
21.214782,45,5904.045331
22.300684,45,5929.538987
24.466417,45,5952.775985
26.692242,45,5981.1953
27.358908,45,6004.784467
24.051473,45,6028.192475
22.430401,45,6073.233998
26.172641,45,6104.745499
30.331227,45,6128.369519
28.577169,45,6157.815392
28.570769,45,6189.172894
26.84528,45,6212.606982
25.771555,45,6236.508323
24.423284,45,6260.199401
25.624867,45,6280.982318
24.791492,45,6300.774295
24.039401,45,6343.678581
27.69792,45,6365.687319
27.190779,45,6392.947424
26.548281,45,6416.73111
23.377497,45,6446.660411
25.123504,45,6466.509791
26.256996,45,6486.762714
27.855775,45,6506.480075
27.556738,45,6528.379371
26.854025,45,6558.424159
25.804297,45,6585.353718
20.726499,45,6607.618285
26.039613,45,6629.217872
21.022806,45,6651.122534
25.826914,45,6676.584066
28.992532,45,6709.561471
21.055368,45,6731.492971
27.086745,45,6759.850324
27.823579,45,6780.623211
24.655923,45,6801.488259
21.47052,45,6828.386396
28.488979,45,6852.176251
26.452382,45,6873.589997
26.876792,45,6897.49272
27.526576,45,6932.527091
26.079102,45,6954.868088
26.682075,45,6979.358985
27.535275,45,7019.734026
26.393994,45,7043.750992
26.678362,45,7148.055042
26.887655,45,7174.824895
26.88505,45,7199.057419
27.497381,45,7220.614407
27.295605,45,7248.731961
22.742488,45,7277.49948
26.334186,45,7300.143914
27.045518,45,7325.236983
22.585024,45,7345.594111
22.922341,45,7368.239398
24.522926,45,7393.145369
24.588006,45,7417.077372
26.470874,45,7439.33404
27.783124,45,7462.552887
